ID_BIO_PEIXES;DATA;MONTH;ANO;DAY;trim;MATRICULA;COD_FAO;PORTO_NOME;ARTE_EU;ARTE;N_OBS;SEXO;EST_MATURACAO;C_CLASSE;C_INDIVIDUAL;P_INDIVIDUAL;P_EVISCERADO;P_FIGADO;P_GONADAS;IDADE
32;07/04/2017;4;2017;7;2;FZ-820-C;WHB;Vila Real de Santo António;NA;NA;32;M;5;21;21.6;54.5;52.1;0.72;NA;NA
33;07/04/2017;4;2017;7;2;FZ-820-C;WHB;Vila Real de Santo António;NA;NA;33;M;2;21;21.1;51.89;49.05;1.04;NA;NA
34;07/04/2017;4;2017;7;2;FZ-820-C;WHB;Vila Real de Santo António;NA;NA;34;M;2;21;21.7;50.43;48.43;0.41;NA;NA
35;07/04/2017;4;2017;7;2;FZ-820-C;WHB;Vila Real de Santo António;NA;NA;35;F;2;21;21.6;46.3;44.22;0.24;NA;NA
36;07/04/2017;4;2017;7;2;FZ-820-C;WHB;Vila Real de Santo António;NA;NA;36;F;2;22;22.2;58.37;55.81;0.58;NA;2
37;07/04/2017;4;2017;7;2;FZ-820-C;WHB;Vila Real de Santo António;NA;NA;37;M;2;22;22.7;59.32;55.91;0.52;NA;NA
38;07/04/2017;4;2017;7;2;FZ-820-C;WHB;Vila Real de Santo António;NA;NA;38;M;2;22;22.2;64.04;59.75;0.89;NA;NA
39;07/04/2017;4;2017;7;2;FZ-820-C;WHB;Vila Real de Santo António;NA;NA;39;M;2;22;22.5;56.69;53.98;0.63;NA;NA
40;07/04/2017;4;2017;7;2;FZ-820-C;WHB;Vila Real de Santo António;NA;NA;40;M;2;22;22.6;60.2;58.17;0.55;NA;NA
41;07/04/2017;4;2017;7;2;FZ-820-C;WHB;Vila Real de Santo António;NA;NA;41;M;2;22;22.7;55.58;53.78;0.37;NA;NA
42;07/04/2017;4;2017;7;2;FZ-820-C;WHB;Vila Real de Santo António;NA;NA;42;M;2;22;22.6;62.46;60.41;1.05;NA;NA
43;07/04/2017;4;2017;7;2;FZ-820-C;WHB;Vila Real de Santo António;NA;NA;43;M;2;22;22.2;63.54;57.95;0.67;NA;3
44;07/04/2017;4;2017;7;2;FZ-820-C;WHB;Vila Real de Santo António;NA;NA;44;M;2;22;22.7;67.52;65.6;0.47;NA;NA
45;07/04/2017;4;2017;7;2;FZ-820-C;WHB;Vila Real de Santo António;NA;NA;45;M;2;22;22.6;54.09;52.43;0.37;NA;3
46;07/04/2017;4;2017;7;2;FZ-820-C;WHB;Vila Real de Santo António;NA;NA;46;M;2;23;23.3;68.97;66.19;0.88;NA;NA
47;07/04/2017;4;2017;7;2;FZ-820-C;WHB;Vila Real de Santo António;NA;NA;47;F;2;23;23.8;51.68;50.48;0.3;NA;NA
48;07/04/2017;4;2017;7;2;FZ-820-C;WHB;Vila Real de Santo António;NA;NA;48;M;2;23;23.1;66.2;62.66;1.28;NA;NA
49;07/04/2017;4;2017;7;2;FZ-820-C;WHB;Vila Real de Santo António;NA;NA;49;M;5;23;23;68.39;65.8;0.95;NA;3
50;07/04/2017;4;2017;7;2;FZ-820-C;WHB;Vila Real de Santo António;NA;NA;50;M;2;23;23.2;76.23;73.43;1.55;NA;NA
51;07/04/2017;4;2017;7;2;FZ-820-C;WHB;Vila Real de Santo António;NA;NA;51;F;2;23;23.2;68.82;65.12;0.77;NA;2
52;07/04/2017;4;2017;7;2;FZ-820-C;WHB;Vila Real de Santo António;NA;NA;52;M;2;23;23;62.5;60.16;0.84;NA;NA
53;07/04/2017;4;2017;7;2;FZ-820-C;WHB;Vila Real de Santo António;NA;NA;53;M;2;23;23.6;73.14;70.52;0.88;NA;NA
54;07/04/2017;4;2017;7;2;FZ-820-C;WHB;Vila Real de Santo António;NA;NA;54;M;2;23;23.6;67.26;64.7;0.9;NA;NA
55;07/04/2017;4;2017;7;2;FZ-820-C;WHB;Vila Real de Santo António;NA;NA;55;M;2;23;23;59.5;56.86;0.66;NA;NA
56;07/04/2017;4;2017;7;2;FZ-820-C;WHB;Vila Real de Santo António;NA;NA;56;M;2;24;24.2;71.68;68.4;1.23;NA;3
57;07/04/2017;4;2017;7;2;FZ-820-C;WHB;Vila Real de Santo António;NA;NA;57;M;2;24;24.4;70.34;68.28;0.27;NA;NA
58;07/04/2017;4;2017;7;2;FZ-820-C;WHB;Vila Real de Santo António;NA;NA;58;F;2;24;24;73.74;70.66;1.14;NA;3
59;07/04/2017;4;2017;7;2;FZ-820-C;WHB;Vila Real de Santo António;NA;NA;59;M;2;24;24.1;62.6;60.95;0.58;NA;3
60;07/04/2017;4;2017;7;2;FZ-820-C;WHB;Vila Real de Santo António;NA;NA;60;F;2;24;24.7;79.87;75.2;1.63;NA;NA
61;07/04/2017;4;2017;7;2;FZ-820-C;WHB;Vila Real de Santo António;NA;NA;61;M;2;24;24.8;72.26;69.72;0.62;NA;NA
62;07/04/2017;4;2017;7;2;FZ-820-C;WHB;Vila Real de Santo António;NA;NA;62;F;2;24;24;70.33;64.27;NA;NA;NA
63;07/04/2017;4;2017;7;2;FZ-820-C;WHB;Vila Real de Santo António;NA;NA;63;M;2;24;24.8;90.92;86.3;2.34;NA;NA
64;07/04/2017;4;2017;7;2;FZ-820-C;WHB;Vila Real de Santo António;NA;NA;64;M;2;24;24.1;72.06;69.66;0.97;NA;NA
65;07/04/2017;4;2017;7;2;FZ-820-C;WHB;Vila Real de Santo António;NA;NA;65;M;2;24;24.3;79.56;76.84;1.3;NA;NA
66;07/04/2017;4;2017;7;2;FZ-820-C;WHB;Vila Real de Santo António;NA;NA;66;F;2;25;25.2;94.28;90.17;1.76;NA;NA
67;07/04/2017;4;2017;7;2;FZ-820-C;WHB;Vila Real de Santo António;NA;NA;67;F;2;25;25.7;99;84.84;2.85;NA;3
68;07/04/2017;4;2017;7;2;FZ-820-C;WHB;Vila Real de Santo António;NA;NA;68;F;2;26;26.2;92.96;89.68;0.72;NA;NA
69;06/03/2017;3;2017;6;1;L-2046-C;WHB;Matosinhos;NA;NA;1;M;2;18;18.9;32.92;31.3;0.39;0.16;NA
70;06/03/2017;3;2017;6;1;L-2046-C;WHB;Matosinhos;NA;NA;2;M;2;18;18.5;35.36;33.86;0.49;0.21;NA
71;06/03/2017;3;2017;6;1;L-2046-C;WHB;Matosinhos;NA;NA;3;M;2;18;18.7;34.03;32.27;0.4;0.12;NA
72;06/03/2017;3;2017;6;1;L-2046-C;WHB;Matosinhos;NA;NA;4;M;2;18;18.6;36.1;33;0.47;0.27;1
73;06/03/2017;3;2017;6;1;L-2046-C;WHB;Matosinhos;NA;NA;5;F;2;18;18.9;33.56;32.67;NA;0.12;NA
74;06/03/2017;3;2017;6;1;L-2046-C;WHB;Matosinhos;NA;NA;6;F;2;18;18.5;35.53;33.67;0.81;0.34;1
75;06/03/2017;3;2017;6;1;L-2046-C;WHB;Matosinhos;NA;NA;7;F;2;18;18.5;34.36;32.5;0.34;0.16;1
76;06/03/2017;3;2017;6;1;L-2046-C;WHB;Matosinhos;NA;NA;8;F;2;18;18.6;37.11;35.52;0.64;0.15;NA
77;06/03/2017;3;2017;6;1;L-2046-C;WHB;Matosinhos;NA;NA;9;M;2;18;18.6;36.59;34.97;0.88;0.18;NA
78;06/03/2017;3;2017;6;1;L-2046-C;WHB;Matosinhos;NA;NA;10;F;2;18;18.8;37.77;36.25;0.48;0.18;NA
79;06/03/2017;3;2017;6;1;L-2046-C;WHB;Matosinhos;NA;NA;11;F;3;19;19.5;40.83;37.95;0.52;0.64;NA
80;06/03/2017;3;2017;6;1;L-2046-C;WHB;Matosinhos;NA;NA;12;F;2;19;19.3;37.87;36.36;0.37;0.27;NA
81;06/03/2017;3;2017;6;1;L-2046-C;WHB;Matosinhos;NA;NA;13;F;2;19;19.5;36.69;35.05;0.66;0.24;NA
82;06/03/2017;3;2017;6;1;L-2046-C;WHB;Matosinhos;NA;NA;14;F;3;19;19.2;41.05;37.26;0.71;0.83;NA
83;06/03/2017;3;2017;6;1;L-2046-C;WHB;Matosinhos;NA;NA;15;F;3;19;19.5;42.31;39.1;1.25;1.2;NA
84;06/03/2017;3;2017;6;1;L-2046-C;WHB;Matosinhos;NA;NA;16;F;2;19;19.1;43.55;38.8;0.91;0.37;NA
85;06/03/2017;3;2017;6;1;L-2046-C;WHB;Matosinhos;NA;NA;17;F;2;19;19.3;37.88;36.21;0.53;0.25;NA
86;06/03/2017;3;2017;6;1;L-2046-C;WHB;Matosinhos;NA;NA;18;F;3;19;19.9;41.64;39.7;0.3;1.18;2
87;06/03/2017;3;2017;6;1;L-2046-C;WHB;Matosinhos;NA;NA;19;F;2;19;19.5;47.2;44.05;1;0.17;NA
88;06/03/2017;3;2017;6;1;L-2046-C;WHB;Matosinhos;NA;NA;20;F;2;19;19.6;39.37;37.82;NA;0.25;NA
89;06/03/2017;3;2017;6;1;L-2046-C;WHB;Matosinhos;NA;NA;21;F;3;20;20.3;41.88;39.55;0.61;1.08;NA
90;06/03/2017;3;2017;6;1;L-2046-C;WHB;Matosinhos;NA;NA;22;M;2;20;20;43.59;41.62;0.53;0.19;NA
91;06/03/2017;3;2017;6;1;L-2046-C;WHB;Matosinhos;NA;NA;23;M;3;20;20.3;44.06;42.02;0.75;0.52;NA
92;06/03/2017;3;2017;6;1;L-2046-C;WHB;Matosinhos;NA;NA;24;F;3;20;20.9;41.52;38.66;0.4;0.75;2
93;06/03/2017;3;2017;6;1;L-2046-C;WHB;Matosinhos;NA;NA;25;F;3;20;20.2;41.63;39.55;NA;0.95;NA
94;06/03/2017;3;2017;6;1;L-2046-C;WHB;Matosinhos;NA;NA;26;M;2;20;20.5;39.62;38.58;0.58;0.25;2
95;06/03/2017;3;2017;6;1;L-2046-C;WHB;Matosinhos;NA;NA;27;F;3;20;20;44.91;40.21;0.78;0.67;NA
96;06/03/2017;3;2017;6;1;L-2046-C;WHB;Matosinhos;NA;NA;28;I;NA;20;20.5;50.22;48.15;1.15;NA;NA
97;06/03/2017;3;2017;6;1;L-2046-C;WHB;Matosinhos;NA;NA;29;M;2;20;20.4;38.32;37.06;0.34;0.14;NA
98;06/03/2017;3;2017;6;1;L-2046-C;WHB;Matosinhos;NA;NA;30;F;3;21;21.4;55.01;52.82;0.65;0.83;NA
99;06/03/2017;3;2017;6;1;L-2046-C;WHB;Matosinhos;NA;NA;31;F;3;21;21;45.77;43.02;0.68;1.01;NA
100;06/03/2017;3;2017;6;1;L-2046-C;WHB;Matosinhos;NA;NA;32;F;5;21;21.6;47.75;46;0.95;0.08;NA
101;06/03/2017;3;2017;6;1;L-2046-C;WHB;Matosinhos;NA;NA;33;F;4;21;21.6;51.26;48.24;0.71;1.32;NA
102;06/03/2017;3;2017;6;1;L-2046-C;WHB;Matosinhos;NA;NA;34;F;4;21;21.4;54.58;52.24;0.58;0.98;NA
103;06/03/2017;3;2017;6;1;L-2046-C;WHB;Matosinhos;NA;NA;35;M;3;21;21.2;48.37;46.46;NA;0.58;NA
104;06/03/2017;3;2017;6;1;L-2046-C;WHB;Matosinhos;NA;NA;36;F;3;21;21.5;61.47;58.82;1.56;0.86;NA
105;06/03/2017;3;2017;6;1;L-2046-C;WHB;Matosinhos;NA;NA;37;M;3;21;21.5;50.39;47.26;0.54;0.83;NA
106;06/03/2017;3;2017;6;1;L-2046-C;WHB;Matosinhos;NA;NA;38;F;4;21;21.5;46.64;44.21;0.76;0.96;NA
107;06/03/2017;3;2017;6;1;L-2046-C;WHB;Matosinhos;NA;NA;39;F;4;21;21.4;46.71;41.37;1.01;0.86;NA
108;06/03/2017;3;2017;6;1;L-2046-C;WHB;Matosinhos;NA;NA;40;F;4;22;22.6;62.99;58.59;0.8;1.1;NA
109;06/03/2017;3;2017;6;1;L-2046-C;WHB;Matosinhos;NA;NA;41;F;3;22;22;56.69;53.24;0.81;0.82;NA
110;06/03/2017;3;2017;6;1;L-2046-C;WHB;Matosinhos;NA;NA;42;F;3;22;22.7;59.03;55.9;1.25;0.82;NA
111;06/03/2017;3;2017;6;1;L-2046-C;WHB;Matosinhos;NA;NA;43;F;3;22;22.1;58.78;55.71;1.1;0.9;2
112;06/03/2017;3;2017;6;1;L-2046-C;WHB;Matosinhos;NA;NA;44;F;4;22;22.9;66.09;60.11;1.49;2.21;NA
113;06/03/2017;3;2017;6;1;L-2046-C;WHB;Matosinhos;NA;NA;45;F;3;22;22;56.82;52.82;1.36;1.6;NA
114;06/03/2017;3;2017;6;1;L-2046-C;WHB;Matosinhos;NA;NA;46;F;4;22;22.3;67.54;62.57;0.95;1.75;2
115;06/03/2017;3;2017;6;1;L-2046-C;WHB;Matosinhos;NA;NA;47;F;4;22;22;61.44;57.6;1.28;1.29;NA
116;06/03/2017;3;2017;6;1;L-2046-C;WHB;Matosinhos;NA;NA;48;F;4;23;23.6;82.49;77.78;0.88;0.87;2
117;06/03/2017;3;2017;6;1;L-2046-C;WHB;Matosinhos;NA;NA;49;M;3;23;23.6;66.57;64.18;NA;0.84;3
118;06/03/2017;3;2017;6;1;L-2046-C;WHB;Matosinhos;NA;NA;50;M;3;23;23.9;75.34;70.28;0.71;0.7;2
119;06/03/2017;3;2017;6;1;L-2046-C;WHB;Matosinhos;NA;NA;51;F;4;23;23.5;75.76;70.88;2;1.22;NA
120;06/03/2017;3;2017;6;1;L-2046-C;WHB;Matosinhos;NA;NA;52;M;3;23;23.8;81.09;75.58;0.78;0.74;3
121;06/03/2017;3;2017;6;1;L-2046-C;WHB;Matosinhos;NA;NA;53;M;3;23;23.6;62.44;59.7;0.24;0.84;NA
122;06/03/2017;3;2017;6;1;L-2046-C;WHB;Matosinhos;NA;NA;54;M;3;23;23.2;67.36;64.93;0.48;0.64;NA
123;06/03/2017;3;2017;6;1;L-2046-C;WHB;Matosinhos;NA;NA;55;M;3;23;23.5;67.82;63.95;0.92;1.33;NA
124;06/03/2017;3;2017;6;1;L-2046-C;WHB;Matosinhos;NA;NA;56;F;4;23;23.5;77.02;72.88;0.4;1.54;NA
125;06/03/2017;3;2017;6;1;L-2046-C;WHB;Matosinhos;NA;NA;57;M;3;23;23.5;71.86;64.84;0.67;1.35;3
126;06/03/2017;3;2017;6;1;L-2046-C;WHB;Matosinhos;NA;NA;58;M;2;24;24;69.86;67.49;1.22;0.12;NA
127;06/03/2017;3;2017;6;1;L-2046-C;WHB;Matosinhos;NA;NA;59;M;3;24;24.6;81.11;78.9;1.03;0.8;3
128;06/03/2017;3;2017;6;1;L-2046-C;WHB;Matosinhos;NA;NA;60;F;4;24;24.2;78.8;71.63;0.45;2.39;NA
129;06/03/2017;3;2017;6;1;L-2046-C;WHB;Matosinhos;NA;NA;61;M;3;24;24;71.02;67.66;0.27;0.64;NA
130;06/03/2017;3;2017;6;1;L-2046-C;WHB;Matosinhos;NA;NA;62;F;3;24;24.2;70.93;68.65;NA;0.71;3
131;06/03/2017;3;2017;6;1;L-2046-C;WHB;Matosinhos;NA;NA;63;M;2;24;24.5;87.06;84.13;1.28;0.27;NA
132;06/03/2017;3;2017;6;1;L-2046-C;WHB;Matosinhos;NA;NA;64;M;3;24;24;74.29;70.4;0.37;0.69;NA
133;06/03/2017;3;2017;6;1;L-2046-C;WHB;Matosinhos;NA;NA;65;F;3;24;24.2;83.72;78.14;1.27;1.14;NA
134;06/03/2017;3;2017;6;1;L-2046-C;WHB;Matosinhos;NA;NA;66;M;4;24;24.5;66.86;63.38;0.53;1.23;3
135;06/03/2017;3;2017;6;1;L-2046-C;WHB;Matosinhos;NA;NA;67;M;4;24;24.4;78.36;74.24;NA;1.83;NA
136;06/03/2017;3;2017;6;1;L-2046-C;WHB;Matosinhos;NA;NA;68;M;3;25;25.9;96.8;90.02;1.35;1.03;NA
137;06/03/2017;3;2017;6;1;L-2046-C;WHB;Matosinhos;NA;NA;69;F;4;25;25.9;103.03;94.67;1.37;1.47;NA
138;06/03/2017;3;2017;6;1;L-2046-C;WHB;Matosinhos;NA;NA;70;M;3;25;25.8;74.73;71.4;0.54;1.03;5
139;06/03/2017;3;2017;6;1;L-2046-C;WHB;Matosinhos;NA;NA;71;F;4;25;25.8;90.76;86.6;1.45;2.66;3
140;06/03/2017;3;2017;6;1;L-2046-C;WHB;Matosinhos;NA;NA;72;M;4;25;25.6;93.33;87.85;0.62;2.67;NA
141;06/03/2017;3;2017;6;1;L-2046-C;WHB;Matosinhos;NA;NA;73;M;3;25;25.4;89.03;87.06;0.75;0.97;NA
142;06/03/2017;3;2017;6;1;L-2046-C;WHB;Matosinhos;NA;NA;74;M;3;25;25.6;80.44;77.65;0.39;0.46;NA
143;06/03/2017;3;2017;6;1;L-2046-C;WHB;Matosinhos;NA;NA;75;F;3;25;25;91.94;81.45;0.6;0.95;NA
144;06/03/2017;3;2017;6;1;L-2046-C;WHB;Matosinhos;NA;NA;76;F;4;25;25;96.1;88.69;1.83;4.42;NA
145;06/03/2017;3;2017;6;1;L-2046-C;WHB;Matosinhos;NA;NA;77;M;3;25;25.4;84.66;78.9;0.46;1.02;3
146;06/03/2017;3;2017;6;1;L-2046-C;WHB;Matosinhos;NA;NA;78;M;3;26;26.2;85.42;81.82;NA;0.65;NA
147;06/03/2017;3;2017;6;1;L-2046-C;WHB;Matosinhos;NA;NA;79;M;3;26;26.2;87.32;84.75;NA;0.52;NA
148;06/03/2017;3;2017;6;1;L-2046-C;WHB;Matosinhos;NA;NA;80;F;4;26;26.9;87.47;82.3;0.7;2.82;NA
149;06/03/2017;3;2017;6;1;L-2046-C;WHB;Matosinhos;NA;NA;81;F;3;26;26.6;98.52;95.38;0.9;1.05;NA
150;06/03/2017;3;2017;6;1;L-2046-C;WHB;Matosinhos;NA;NA;82;F;3;26;26.1;101.95;93.25;0.65;1.03;NA
151;06/03/2017;3;2017;6;1;L-2046-C;WHB;Matosinhos;NA;NA;83;F;4;26;26.6;100.3;93.46;0.55;3.12;NA
152;06/03/2017;3;2017;6;1;L-2046-C;WHB;Matosinhos;NA;NA;84;F;4;26;26.2;90.71;85.5;0.75;2.5;NA
153;06/03/2017;3;2017;6;1;L-2046-C;WHB;Matosinhos;NA;NA;85;M;3;26;26;98.07;91.48;1.23;0.66;3
154;06/03/2017;3;2017;6;1;L-2046-C;WHB;Matosinhos;NA;NA;86;F;3;26;26.5;86.94;83.17;1.19;1.18;NA
155;06/03/2017;3;2017;6;1;L-2046-C;WHB;Matosinhos;NA;NA;87;M;3;26;26.3;93.1;86.5;0.61;1.2;4
156;06/03/2017;3;2017;6;1;L-2046-C;WHB;Matosinhos;NA;NA;88;F;4;27;27.1;122.54;117;2.16;2.84;NA
157;06/03/2017;3;2017;6;1;L-2046-C;WHB;Matosinhos;NA;NA;89;F;5;27;27;69.73;66.14;1.21;0.28;5
158;06/03/2017;3;2017;6;1;L-2046-C;WHB;Matosinhos;NA;NA;90;F;4;27;27.5;95.96;90.11;0.98;2.44;NA
159;06/03/2017;3;2017;6;1;L-2046-C;WHB;Matosinhos;NA;NA;91;F;3;29;29.6;116.75;111.4;0.88;1.39;5
160;06/03/2017;3;2017;6;1;L-2046-C;WHB;Matosinhos;NA;NA;92;F;5;30;30.2;118.48;113;0.83;0.79;5
161;28/03/2018;3;2018;28;1;L-2028-C;WHB;Matosinhos;NA;NA;1;M;1;18;18.9;36.7;34.66;0.77;NA;NA
162;28/03/2018;3;2018;28;1;L-2028-C;WHB;Matosinhos;NA;NA;2;M;1;18;18.9;38.04;36.17;0.93;NA;NA
163;28/03/2018;3;2018;28;1;L-2028-C;WHB;Matosinhos;NA;NA;3;M;1;18;18.6;37.94;36.07;0.97;NA;NA
164;28/03/2018;3;2018;28;1;L-2028-C;WHB;Matosinhos;NA;NA;4;M;1;18;18.8;39.02;37.07;0.94;NA;NA
165;28/03/2018;3;2018;28;1;L-2028-C;WHB;Matosinhos;NA;NA;5;M;1;18;18.5;37.2;35.6;0.53;NA;NA
166;28/03/2018;3;2018;28;1;L-2028-C;WHB;Matosinhos;NA;NA;6;M;1;18;18.7;36.65;34.89;0.41;NA;1
167;28/03/2018;3;2018;28;1;L-2028-C;WHB;Matosinhos;NA;NA;7;M;1;18;18.5;34.08;32.71;0.38;NA;NA
168;28/03/2018;3;2018;28;1;L-2028-C;WHB;Matosinhos;NA;NA;8;I;NA;18;18.5;32.87;31.44;NA;NA;NA
169;28/03/2018;3;2018;28;1;L-2028-C;WHB;Matosinhos;NA;NA;9;M;1;18;18.5;35.58;34;0.43;NA;NA
170;28/03/2018;3;2018;28;1;L-2028-C;WHB;Matosinhos;NA;NA;10;M;2;18;18;33.12;31.63;0.36;0.08;NA
171;28/03/2018;3;2018;28;1;L-2028-C;WHB;Matosinhos;NA;NA;11;F;2;19;19.5;42.64;39.85;1.49;0.14;1
172;28/03/2018;3;2018;28;1;L-2028-C;WHB;Matosinhos;NA;NA;12;M;1;19;19.5;41.45;38.94;1.11;NA;1
173;28/03/2018;3;2018;28;1;L-2028-C;WHB;Matosinhos;NA;NA;13;M;2;19;19.5;41.89;39.59;1.07;0.09;1
174;28/03/2018;3;2018;28;1;L-2028-C;WHB;Matosinhos;NA;NA;14;I;NA;19;19.4;37.58;36.07;0.35;NA;NA
175;28/03/2018;3;2018;28;1;L-2028-C;WHB;Matosinhos;NA;NA;15;F;2;19;19.9;42.96;40.65;1.02;0.09;NA
176;28/03/2018;3;2018;28;1;L-2028-C;WHB;Matosinhos;NA;NA;16;M;1;19;19.2;38.93;37.55;0.45;NA;NA
177;28/03/2018;3;2018;28;1;L-2028-C;WHB;Matosinhos;NA;NA;17;M;2;19;19.6;40.11;38.52;0.4;0.1;1
178;28/03/2018;3;2018;28;1;L-2028-C;WHB;Matosinhos;NA;NA;18;I;NA;19;19.7;44.34;41.54;0.9;NA;NA
179;28/03/2018;3;2018;28;1;L-2028-C;WHB;Matosinhos;NA;NA;19;F;1;19;19.7;39.54;38.01;0.85;0.05;NA
180;28/03/2018;3;2018;28;1;L-2028-C;WHB;Matosinhos;NA;NA;20;F;2;19;19.5;41.87;39.98;0.81;0.12;NA
181;28/03/2018;3;2018;28;1;L-2028-C;WHB;Matosinhos;NA;NA;21;F;2;20;20.2;47.35;44.38;1.72;0.16;NA
182;28/03/2018;3;2018;28;1;L-2028-C;WHB;Matosinhos;NA;NA;22;M;2;20;20;41.93;40.41;0.64;0.09;NA
183;28/03/2018;3;2018;28;1;L-2028-C;WHB;Matosinhos;NA;NA;23;M;2;20;20.5;47.08;45.51;0.79;0.08;1
184;28/03/2018;3;2018;28;1;L-2028-C;WHB;Matosinhos;NA;NA;24;M;2;20;20.6;48.95;47.49;1.33;0.12;NA
185;28/03/2018;3;2018;28;1;L-2028-C;WHB;Matosinhos;NA;NA;25;I;NA;20;20.5;42.91;41.63;0.42;NA;NA
