ID_BIO_PEIXES;DATA;MONTH;ANO;DAY;trim;MATRICULA;COD_FAO;PORTO_NOME;ARTE_EU;ARTE;N_OBS;SEXO;EST_MATURACAO;C_CLASSE;C_INDIVIDUAL;P_INDIVIDUAL;P_EVISCERADO;P_FIGADO;P_GONADAS;IDADE
1;07/04/2017;4;2017;7;2;FZ-820-C;WHB;Vila Real de Santo António;NA;NA;1;F;5;18;18.5;35.97;33.34;1.08;NA;NA
2;07/04/2017;4;2017;7;2;FZ-820-C;WHB;Vila Real de Santo António;NA;NA;2;M;2;18;18.8;36.74;34.16;0.75;NA;NA
3;07/04/2017;4;2017;7;2;FZ-820-C;WHB;Vila Real de Santo António;NA;NA;3;M;2;18;18.5;33.08;31.5;0.63;NA;1
4;07/04/2017;4;2017;7;2;FZ-820-C;WHB;Vila Real de Santo António;NA;NA;4;F;2;18;18.1;29.29;27.71;0.23;NA;1
5;07/04/2017;4;2017;7;2;FZ-820-C;WHB;Vila Real de Santo António;NA;NA;5;M;2;18;18.6;37.18;35;0.68;NA;NA
6;07/04/2017;4;2017;7;2;FZ-820-C;WHB;Vila Real de Santo António;NA;NA;6;M;2;19;19;39.51;37.55;0.68;NA;1
7;07/04/2017;4;2017;7;2;FZ-820-C;WHB;Vila Real de Santo António;NA;NA;7;M;5;19;19.2;32.05;30.81;0.38;NA;NA
8;07/04/2017;4;2017;7;2;FZ-820-C;WHB;Vila Real de Santo António;NA;NA;8;F;2;19;19.8;43.46;41.44;0.67;NA;NA
9;07/04/2017;4;2017;7;2;FZ-820-C;WHB;Vila Real de Santo António;NA;NA;9;M;2;19;19.7;42.09;40.23;0.58;NA;NA
10;07/04/2017;4;2017;7;2;FZ-820-C;WHB;Vila Real de Santo António;NA;NA;10;M;2;19;19.1;41.1;38;0.72;NA;NA
11;07/04/2017;4;2017;7;2;FZ-820-C;WHB;Vila Real de Santo António;NA;NA;11;M;2;19;19.2;37.53;35;0.44;NA;1
12;07/04/2017;4;2017;7;2;FZ-820-C;WHB;Vila Real de Santo António;NA;NA;12;M;2;19;19.5;42.46;40.59;0.44;NA;NA
13;07/04/2017;4;2017;7;2;FZ-820-C;WHB;Vila Real de Santo António;NA;NA;13;F;2;19;19.7;42.09;40.09;0.76;NA;NA
14;07/04/2017;4;2017;7;2;FZ-820-C;WHB;Vila Real de Santo António;NA;NA;14;M;2;19;19.3;36.69;34.9;0.58;NA;NA
15;07/04/2017;4;2017;7;2;FZ-820-C;WHB;Vila Real de Santo António;NA;NA;15;M;2;19;19.8;42.03;39.14;0.8;NA;2
16;07/04/2017;4;2017;7;2;FZ-820-C;WHB;Vila Real de Santo António;NA;NA;16;M;2;20;20.3;45.82;43.83;0.63;NA;NA
17;07/04/2017;4;2017;7;2;FZ-820-C;WHB;Vila Real de Santo António;NA;NA;17;M;2;20;20.6;47.81;45.01;0.92;NA;NA
18;07/04/2017;4;2017;7;2;FZ-820-C;WHB;Vila Real de Santo António;NA;NA;18;M;2;20;20.2;43.71;41.32;0.58;NA;2
19;07/04/2017;4;2017;7;2;FZ-820-C;WHB;Vila Real de Santo António;NA;NA;19;M;2;20;20.2;49.12;46.14;1.09;NA;NA
20;07/04/2017;4;2017;7;2;FZ-820-C;WHB;Vila Real de Santo António;NA;NA;20;M;2;20;20.8;53.32;48.45;1.57;NA;NA
21;07/04/2017;4;2017;7;2;FZ-820-C;WHB;Vila Real de Santo António;NA;NA;21;M;2;20;20.5;54.3;51.34;1;NA;NA
22;07/04/2017;4;2017;7;2;FZ-820-C;WHB;Vila Real de Santo António;NA;NA;22;M;2;20;20.2;37.03;35.3;0.44;NA;NA
23;07/04/2017;4;2017;7;2;FZ-820-C;WHB;Vila Real de Santo António;NA;NA;23;M;2;20;20.3;47;43.98;0.86;NA;NA
24;07/04/2017;4;2017;7;2;FZ-820-C;WHB;Vila Real de Santo António;NA;NA;24;F;5;20;20.6;49.68;46.78;1.49;NA;2
25;07/04/2017;4;2017;7;2;FZ-820-C;WHB;Vila Real de Santo António;NA;NA;25;M;2;20;20.1;40.34;38.64;NA;NA;NA
26;07/04/2017;4;2017;7;2;FZ-820-C;WHB;Vila Real de Santo António;NA;NA;26;M;2;21;21.9;58.4;56.44;0.62;NA;NA
27;07/04/2017;4;2017;7;2;FZ-820-C;WHB;Vila Real de Santo António;NA;NA;27;M;2;21;21.9;60.69;58.05;0.65;NA;NA
28;07/04/2017;4;2017;7;2;FZ-820-C;WHB;Vila Real de Santo António;NA;NA;28;F;2;21;21.6;54.18;51.68;0.58;NA;NA
29;07/04/2017;4;2017;7;2;FZ-820-C;WHB;Vila Real de Santo António;NA;NA;29;M;2;21;21;48.85;44.49;0.26;NA;NA
30;07/04/2017;4;2017;7;2;FZ-820-C;WHB;Vila Real de Santo António;NA;NA;30;M;5;21;21;50.29;48.45;0.44;NA;NA
31;07/04/2017;4;2017;7;2;FZ-820-C;WHB;Vila Real de Santo António;NA;NA;31;F;5;21;21.1;58.09;55.14;0.92;NA;NA
